<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MSFT.US,D,19861103,000000,0.09533,0.09533,0.09533,0.09533,59182498,0
MSFT.US,D,19861104,000000,0.09533,0.10335,0.09533,0.10335,76311089,0
MSFT.US,D,19861105,000000,0.10335,0.11123,0.10335,0.11123,63262661,0
MSFT.US,D,19861106,000000,0.11123,0.11123,0.10335,0.11123,101801968,0
MSFT.US,D,19861107,000000,0.11123,0.11123,0.11123,0.11123,62171921,0
MSFT.US,D,19861110,000000,0.11123,0.11123,0.10335,0.10335,40236018,0
MSFT.US,D,19861111,000000,0.10335,0.10335,0.10335,0.10335,16684213,0
MSFT.US,D,19861112,000000,0.10335,0.11123,0.10335,0.10335,47911562,0
MSFT.US,D,19861113,000000,0.10335,0.10335,0.10335,0.10335,42377094,0
MSFT.US,D,19861114,000000,0.10335,0.10335,0.10335,0.10335,26258444,0
MSFT.US,D,19861117,000000,0.10335,0.10335,0.10335,0.10335,34095581,0
MSFT.US,D,19861118,000000,0.10335,0.10335,0.10335,0.10335,83703844,0
MSFT.US,D,19861119,000000,0.10335,0.10335,0.10335,0.10335,68352754,0
MSFT.US,D,19861120,000000,0.10335,0.11123,0.10335,0.11123,137715453,0
MSFT.US,D,19861121,000000,0.11123,0.11905,0.11123,0.11905,127737243,0
MSFT.US,D,19861124,000000,0.11905,0.12711,0.11123,0.12711,243839968,0
MSFT.US,D,19861125,000000,0.12711,0.12711,0.12711,0.12711,134362448,0
MSFT.US,D,19861126,000000,0.12711,0.12711,0.12711,0.12711,54415583,0
MSFT.US,D,19861128,000000,0.12711,0.12711,0.11905,0.11905,57970572,0
MSFT.US,D,19861201,000000,0.11905,0.12711,0.11905,0.11905,56516259,0
MSFT.US,D,19861202,000000,0.11905,0.12711,0.11905,0.11905,40357212,0
MSFT.US,D,19861203,000000,0.11905,0.11905,0.11905,0.11905,49325475,0
MSFT.US,D,19861204,000000,0.11905,0.11905,0.11905,0.11905,59626870,0
MSFT.US,D,19861205,000000,0.11905,0.11905,0.11905,0.11905,150804277,0
MSFT.US,D,19861208,000000,0.11905,0.11905,0.11905,0.11905,31792918,0
MSFT.US,D,19861209,000000,0.11905,0.11905,0.11905,0.11905,22582262,0
MSFT.US,D,19861210,000000,0.11905,0.11905,0.11905,0.11905,38700909,0
MSFT.US,D,19861211,000000,0.11905,0.11905,0.11905,0.11905,16320634,0
MSFT.US,D,19861212,000000,0.11905,0.11905,0.11905,0.11905,35469097,0
MSFT.US,D,19861215,000000,0.11905,0.11905,0.11123,0.11123,71220983,0
MSFT.US,D,19861216,000000,0.11123,0.11905,0.11123,0.11123,108427180,0
MSFT.US,D,19861217,000000,0.11123,0.11905,0.11123,0.11905,32762462,0
MSFT.US,D,19861218,000000,0.11905,0.11905,0.11905,0.11905,17774946,0
MSFT.US,D,19861219,000000,0.11905,0.11905,0.11905,0.11905,79381297,0
MSFT.US,D,19861222,000000,0.11905,0.11905,0.11905,0.11905,25692881,0
MSFT.US,D,19861223,000000,0.11905,0.11905,0.11905,0.11905,33368428,0
MSFT.US,D,19861224,000000,0.11905,0.11905,0.11905,0.11905,9857015,0
MSFT.US,D,19861226,000000,0.11905,0.11905,0.11905,0.11905,5211294,0
MSFT.US,D,19861229,000000,0.11905,0.11905,0.11905,0.11905,58495739,0
MSFT.US,D,19861230,000000,0.11905,0.11905,0.11905,0.11905,35630692,0
MSFT.US,D,19861231,000000,0.11905,0.11905,0.11905,0.11905,32762462,0
MSFT.US,D,19870102,000000,0.11905,0.11905,0.11905,0.11905,17734553,0
MSFT.US,D,19870105,000000,0.11905,0.12711,0.11905,0.12711,68029569,0
MSFT.US,D,19870106,000000,0.12711,0.12711,0.12711,0.12711,56152678,0
MSFT.US,D,19870107,000000,0.12711,0.13505,0.12711,0.13505,85562136,0
MSFT.US,D,19870108,000000,0.13505,0.14307,0.13505,0.13505,86248897,0
MSFT.US,D,19870109,000000,0.13505,0.14307,0.13505,0.14307,89359511,0
